state,state_heuristic,first_mover_opt_move,second_mover_opt_move
"(1, -1, 1, -1, -1, -1, 0, 1, 1)",-2.3230573125418773e-08,,
"(1, -1, 1, -1, -1, 0, -1, 1, 1)",2.581174791713197e-09,[5],[5]
"(1, -1, 1, -1, -1, 0, 0, 1, 1)",-2.0649398333705576e-08,[6],[5]
"(1, -1, 1, -1, -1, 0, 0, 1, 0)",-4.129879666741115e-08,[5],[6]
"(1, -1, 1, -1, 0, -1, -1, 1, 1)",2.581174791713197e-09,[4],[4]
"(1, -1, 1, -1, 0, -1, 0, 1, 1)",-2.0649398333705576e-08,[6],[4]
"(1, -1, 1, -1, 0, -1, 0, 1, 0)",-3.613644708398476e-08,[4],"[6, 8]"
"(1, -1, 1, -1, 0, 0, -1, 1, 1)",5.162349583426394e-09,"[4, 5]","[4, 5]"
"(1, -1, 1, -1, 0, 0, -1, 1, 0)",1.0324699166852788e-08,[8],"[4, 5]"
"(1, -1, 1, -1, 0, 0, 0, 1, -1)",5.162349583426394e-09,"[4, 6]",[5]
"(1, -1, 1, -1, 0, 0, 0, 1, 0)",-6.194819500111673e-08,[6],[4]
"(1, -1, 1, -1, -1, 0, 0, 0, 1)",1.4196461354422586e-07,[5],[6]
"(1, -1, 1, -1, 0, -1, 0, 0, 1)",1.6777636146135782e-07,[4],"[6, 7]"
"(1, -1, 1, -1, 0, 0, -1, 0, 1)",4.2331266584096436e-07,"[4, 5]",[7]
"(1, -1, 1, -1, 0, 0, 0, -1, 1)",3.9750091792383236e-07,"[4, 5]",[6]
"(1, -1, 1, -1, 0, 0, 0, 0, 1)",1.1305545587703804e-06,[6],[4]
"(1, -1, 1, -1, 0, 0, 0, 0, 0)",3.401988375477994e-06,[4],[7]
"(1, -1, 1, 1, -1, -1, 1, 0, 0)",2.0907515812876897e-07,,
"(1, -1, 1, 1, -1, -1, -1, 1, 1)",0.0,,
"(1, -1, 1, 1, -1, -1, -1, 1, 0)",0.0,[8],[8]
"(1, -1, 1, 1, -1, -1, 1, 1, -1)",2.581174791713197e-09,,
"(1, -1, 1, 1, -1, -1, 0, 1, -1)",2.581174791713197e-09,[6],[6]
"(1, -1, 1, 1, -1, -1, 0, 1, 0)",2.581174791713197e-09,[8],[6]
"(1, -1, 1, 1, -1, -1, -1, 0, 1)",0.0,[7],[7]
"(1, -1, 1, 1, -1, -1, 0, -1, 1)",-2.3230573125418773e-08,,
"(1, -1, 1, 1, -1, -1, 0, 0, 1)",-2.3230573125418773e-08,[6],[7]
"(1, -1, 1, 1, -1, -1, 0, 0, 0)",1.884257597950634e-07,[6],[8]
"(1, -1, 1, 1, -1, 1, -1, -1, 0)",-2.3230573125418773e-08,,
"(1, -1, 1, 1, -1, 1, -1, 1, -1)",0.0,,
"(1, -1, 1, 1, -1, 1, -1, 0, -1)",0.0,[7],[7]
"(1, -1, 1, 1, -1, 1, -1, 0, 0)",-2.3230573125418773e-08,[8],[7]
"(1, -1, 1, 1, -1, 0, -1, 1, -1)",0.0,[5],[5]
"(1, -1, 1, 1, -1, 0, -1, 1, 0)",0.0,"[5, 8]","[5, 8]"
"(1, -1, 1, 1, -1, 0, -1, -1, 1)",-2.3230573125418773e-08,,
"(1, -1, 1, 1, -1, 0, -1, 0, 1)",-2.3230573125418773e-08,[5],[7]
"(1, -1, 1, 1, -1, 0, -1, 0, 0)",-4.6461146250837546e-08,[7],"[5, 8]"
"(1, -1, 1, 1, -1, 0, 0, -1, 0)",-1.8816764231589208e-06,,
"(1, -1, 1, 1, -1, 1, 0, -1, -1)",-2.3230573125418773e-08,,
"(1, -1, 1, 1, -1, 1, 0, 0, -1)",-2.3230573125418773e-08,[6],[7]
"(1, -1, 1, 1, -1, 0, 1, 0, -1)",2.0907515812876897e-07,,
"(1, -1, 1, 1, -1, 0, 0, 1, -1)",2.581174791713197e-09,[5],[6]
"(1, -1, 1, 1, -1, 0, 0, 0, -1)",1.884257597950634e-07,[6],[5]
"(1, -1, 1, 1, -1, 0, 0, 0, 0)",-1.5512860498196316e-06,"[5, 8]",[7]
"(1, -1, 1, 0, -1, 1, -1, 1, -1)",0.0,[3],[3]
"(1, -1, 1, 0, -1, 1, -1, 1, 0)",2.581174791713197e-09,[3],[8]
"(1, -1, 1, 0, -1, 1, -1, 0, 1)",2.0907515812876897e-07,,
"(1, -1, 1, 0, -1, 1, -1, 0, 0)",1.884257597950634e-07,[8],[3]
"(1, -1, 1, 0, -1, 1, 0, -1, 0)",-1.8816764231589208e-06,,
"(1, -1, 1, 0, -1, 1, 1, -1, -1)",-2.3230573125418773e-08,,
"(1, -1, 1, 0, -1, 1, 1, 0, -1)",-2.3230573125418773e-08,[3],[7]
"(1, -1, 1, 0, -1, 1, 0, 1, -1)",0.0,"[3, 6]","[3, 6]"
"(1, -1, 1, 0, -1, 1, 0, 0, -1)",-4.6461146250837546e-08,[7],"[3, 6]"
"(1, -1, 1, 0, -1, 1, 0, 0, 0)",-1.5512860498196316e-06,"[3, 6]",[7]
"(1, -1, 1, 0, -1, -1, 1, 1, -1)",2.581174791713197e-09,[3],[3]
"(1, -1, 1, 0, -1, -1, 1, 1, 0)",-2.0649398333705576e-08,[8],[3]
"(1, -1, 1, 0, -1, -1, 1, -1, 1)",-2.3230573125418773e-08,,
"(1, -1, 1, 0, -1, -1, 1, 0, 1)",-4.6461146250837546e-08,"[3, 7]","[3, 7]"
"(1, -1, 1, 0, -1, -1, 1, 0, 0)",1.4196461354422586e-07,[3],[8]
"(1, -1, 1, 0, -1, 0, 1, -1, 0)",-1.8816764231589208e-06,,
"(1, -1, 1, 0, -1, 0, 1, 1, -1)",2.581174791713197e-09,[5],[3]
"(1, -1, 1, 0, -1, 0, 1, 0, -1)",1.884257597950634e-07,[3],[5]
"(1, -1, 1, 0, -1, 0, 1, 0, 0)",-1.6442083423213068e-06,[8],[7]
"(1, -1, 1, 0, -1, -1, -1, 1, 1)",0.0,[3],[3]
"(1, -1, 1, 0, -1, -1, 0, 1, 1)",-2.3230573125418773e-08,[6],[3]
"(1, -1, 1, 0, -1, -1, 0, 1, 0)",-4.129879666741115e-08,[3],[8]
"(1, -1, 1, 0, -1, 0, -1, 1, 1)",2.581174791713197e-09,[3],[5]
"(1, -1, 1, 0, -1, 0, -1, 1, 0)",5.162349583426394e-09,"[5, 8]",[3]
"(1, -1, 1, 0, -1, 0, 0, 1, -1)",5.162349583426394e-09,"[3, 6]",[5]
"(1, -1, 1, 0, -1, 0, 0, 1, 0)",-7.227289416796952e-08,"[6, 8]","[3, 5]"
"(1, -1, 1, 0, -1, -1, 0, 0, 1)",-9.292229250167509e-08,"[3, 7]",[6]
"(1, -1, 1, 0, -1, 0, -1, 0, 1)",1.884257597950634e-07,[5],[3]
"(1, -1, 1, 0, -1, 0, 0, -1, 1)",-1.8816764231589208e-06,,
"(1, -1, 1, 0, -1, 0, 0, 0, 1)",-1.6442083423213065e-06,[6],[7]
"(1, -1, 1, 0, -1, 0, 0, 0, 0)",-6.463261678449846e-06,[7],[6]
"(1, -1, 1, 1, 1, -1, -1, -1, 1)",2.581174791713197e-09,,
"(1, -1, 1, 1, 1, -1, -1, -1, 0)",2.581174791713197e-09,[8],[8]
"(1, -1, 1, 1, 1, -1, -1, 1, -1)",0.0,,
"(1, -1, 1, 1, 1, -1, -1, 0, -1)",0.0,[7],[7]
"(1, -1, 1, 1, 1, -1, -1, 0, 0)",2.581174791713197e-09,[7],[8]
"(1, -1, 1, 1, 0, -1, -1, 1, -1)",0.0,[4],[4]
"(1, -1, 1, 1, 0, -1, -1, 1, 0)",0.0,"[4, 8]","[4, 8]"
"(1, -1, 1, 1, 0, -1, -1, -1, 1)",2.581174791713197e-09,[4],[4]
"(1, -1, 1, 1, 0, -1, -1, 0, 1)",2.581174791713197e-09,[7],[4]
"(1, -1, 1, 1, 0, -1, -1, 0, 0)",5.162349583426394e-09,"[4, 8]",[7]
"(1, -1, 1, 1, 1, -1, 1, -1, -1)",2.581174791713197e-09,,
"(1, -1, 1, 1, 1, -1, 0, -1, -1)",2.581174791713197e-09,[6],[6]
"(1, -1, 1, 1, 1, -1, 0, -1, 0)",5.162349583426394e-09,"[6, 8]","[6, 8]"
"(1, -1, 1, 1, 0, -1, 1, -1, 0)",2.0907515812876897e-07,,
"(1, -1, 1, 1, 0, -1, 0, -1, 1)",-2.0649398333705576e-08,[6],[4]
"(1, -1, 1, 1, 0, -1, 0, -1, 0)",1.935881093784898e-07,[6],[8]
"(1, -1, 1, 1, 1, -1, 0, 0, -1)",2.581174791713197e-09,[7],[6]
"(1, -1, 1, 1, 0, -1, 1, 0, -1)",2.0907515812876897e-07,,
"(1, -1, 1, 1, 0, -1, 0, 1, -1)",2.581174791713197e-09,[4],[6]
"(1, -1, 1, 1, 0, -1, 0, 0, -1)",2.142375077121954e-07,[6],"[4, 7]"
"(1, -1, 1, 1, 0, -1, 0, 0, 0)",6.014137264691749e-07,[8],[6]
"(1, -1, 1, 0, 1, -1, -1, 1, -1)",0.0,[3],[3]
"(1, -1, 1, 0, 1, -1, -1, 1, 0)",2.581174791713197e-09,[3],[8]
"(1, -1, 1, 0, 1, -1, -1, 0, 1)",2.0907515812876897e-07,,
"(1, -1, 1, 0, 1, -1, -1, 0, 0)",2.1423750771219536e-07,[8],"[3, 7]"
"(1, -1, 1, 0, 1, -1, 1, -1, 0)",2.0907515812876897e-07,,
"(1, -1, 1, 0, 1, -1, 0, -1, 1)",2.0907515812876897e-07,,
"(1, -1, 1, 0, 1, -1, 0, -1, 0)",4.233126658409643e-07,"[6, 8]",[3]
"(1, -1, 1, 0, 1, -1, 1, 0, -1)",2.0907515812876897e-07,,
"(1, -1, 1, 0, 1, -1, 0, 1, -1)",2.581174791713197e-09,[3],[6]
"(1, -1, 1, 0, 1, -1, 0, 0, -1)",2.142375077121954e-07,[6],"[3, 7]"
"(1, -1, 1, 0, 1, -1, 0, 0, 0)",1.2751003471063193e-06,"[3, 7]",[6]
"(1, -1, 1, 0, 0, -1, 1, -1, 1)",-2.0649398333705576e-08,[3],[4]
"(1, -1, 1, 0, 0, -1, 1, -1, 0)",3.9750091792383236e-07,"[3, 4]",[8]
"(1, -1, 1, 0, 0, -1, 1, 1, -1)",5.162349583426394e-09,"[3, 4]","[3, 4]"
"(1, -1, 1, 0, 0, -1, 1, 0, -1)",4.2331266584096436e-07,"[3, 4]",[7]
"(1, -1, 1, 0, 0, -1, 1, 0, 0)",1.1305545587703804e-06,[8],[4]
"(1, -1, 1, 0, 0, -1, -1, 1, 1)",2.581174791713197e-09,[3],[4]
"(1, -1, 1, 0, 0, -1, -1, 1, 0)",5.162349583426394e-09,"[4, 8]",[3]
"(1, -1, 1, 0, 0, -1, 0, 1, -1)",1.0324699166852788e-08,[6],"[3, 4]"
"(1, -1, 1, 0, 0, -1, 0, 1, 0)",-6.194819500111673e-08,[8],[4]
"(1, -1, 1, 0, 0, -1, -1, 0, 1)",2.142375077121954e-07,[4],"[3, 7]"
"(1, -1, 1, 0, 0, -1, 0, -1, 1)",1.6777636146135782e-07,[4],"[3, 6]"
"(1, -1, 1, 0, 0, -1, 0, 0, 1)",4.568679381332359e-07,[6],[4]
"(1, -1, 1, 0, 0, -1, 0, 0, 0)",3.4019883754779943e-06,[4],[7]
"(1, -1, 1, 1, 1, 0, -1, -1, -1)",-2.3230573125418773e-08,,
"(1, -1, 1, 1, 1, 0, -1, -1, 0)",-2.0649398333705576e-08,[5],[8]
"(1, -1, 1, 1, 0, 1, -1, -1, -1)",-2.3230573125418773e-08,,
"(1, -1, 1, 1, 0, 1, -1, -1, 0)",-4.6461146250837546e-08,"[4, 8]","[4, 8]"
"(1, -1, 1, 1, 0, 0, -1, -1, 1)",-2.0649398333705576e-08,[5],[4]
"(1, -1, 1, 1, 0, 0, -1, -1, 0)",-8.77599429182487e-08,"[4, 8]",[5]
"(1, -1, 1, 1, 1, 0, -1, 0, -1)",-2.3230573125418773e-08,[5],[7]
"(1, -1, 1, 1, 0, 1, -1, 0, -1)",-2.3230573125418773e-08,[4],[7]
"(1, -1, 1, 1, 0, 0, -1, 1, -1)",0.0,"[4, 5]","[4, 5]"
"(1, -1, 1, 1, 0, 0, -1, 0, -1)",-4.6461146250837546e-08,[7],"[4, 5]"
"(1, -1, 1, 1, 0, 0, -1, 0, 0)",-1.755198858364974e-07,[5],[7]
"(1, -1, 1, 0, 1, 1, -1, -1, -1)",-2.3230573125418773e-08,,
"(1, -1, 1, 0, 1, 1, -1, -1, 0)",-2.0649398333705576e-08,[3],[8]
"(1, -1, 1, 0, 1, 0, -1, -1, 1)",2.0907515812876897e-07,,
"(1, -1, 1, 0, 1, 0, -1, -1, 0)",1.6777636146135782e-07,[8],"[3, 5]"
"(1, -1, 1, 0, 1, 1, -1, 0, -1)",-2.3230573125418773e-08,[3],[7]
"(1, -1, 1, 0, 1, 0, -1, 1, -1)",0.0,"[3, 5]","[3, 5]"
"(1, -1, 1, 0, 1, 0, -1, 0, -1)",-4.6461146250837546e-08,[7],"[3, 5]"
"(1, -1, 1, 0, 1, 0, -1, 0, 0)",5.49790230634911e-07,"[3, 5]",[8]
"(1, -1, 1, 0, 0, 1, -1, -1, 1)",2.0907515812876897e-07,,
"(1, -1, 1, 0, 0, 1, -1, -1, 0)",1.4196461354422586e-07,[8],[3]
"(1, -1, 1, 0, 0, 1, -1, 1, -1)",0.0,"[3, 4]","[3, 4]"
"(1, -1, 1, 0, 0, 1, -1, 0, -1)",-4.6461146250837546e-08,[7],"[3, 4]"
"(1, -1, 1, 0, 0, 1, -1, 0, 0)",4.981667348006471e-07,[3],[8]
"(1, -1, 1, 0, 0, 0, -1, 1, -1)",0.0,"[3, 4, 5]","[3, 4, 5]"
"(1, -1, 1, 0, 0, 0, -1, 1, 0)",2.0649398333705576e-08,[3],[8]
"(1, -1, 1, 0, 0, 0, -1, -1, 1)",3.9750091792383236e-07,"[4, 5]",[3]
"(1, -1, 1, 0, 0, 0, -1, 0, 1)",1.2234768512720556e-06,[3],[4]
"(1, -1, 1, 0, 0, 0, -1, 0, 0)",2.1165633292048215e-06,[8],[3]
"(1, -1, 1, 1, 1, 0, 0, -1, -1)",-2.0649398333705576e-08,[5],[6]
"(1, -1, 1, 1, 0, 1, 0, -1, -1)",-4.6461146250837546e-08,"[4, 6]","[4, 6]"
"(1, -1, 1, 1, 0, 0, 1, -1, -1)",2.0907515812876897e-07,,
"(1, -1, 1, 1, 0, 0, 0, -1, -1)",1.4196461354422586e-07,[6],[5]
"(1, -1, 1, 1, 0, 0, 0, -1, 0)",-1.633883643154454e-06,[5],[4]
"(1, -1, 1, 0, 1, 1, 0, -1, -1)",-2.0649398333705576e-08,[3],[6]
"(1, -1, 1, 0, 1, 0, 1, -1, -1)",2.0907515812876897e-07,,
"(1, -1, 1, 0, 1, 0, 0, -1, -1)",1.6777636146135782e-07,[6],"[3, 5]"
"(1, -1, 1, 0, 1, 0, 0, -1, 0)",1.1821780546046444e-06,"[3, 5]","[6, 8]"
"(1, -1, 1, 0, 0, 1, 1, -1, -1)",-2.0649398333705576e-08,[3],[4]
"(1, -1, 1, 0, 0, 1, 0, -1, -1)",-8.77599429182487e-08,"[4, 6]",[3]
"(1, -1, 1, 0, 0, 1, 0, -1, 0)",-1.633883643154454e-06,[3],[4]
"(1, -1, 1, 0, 0, 0, 1, -1, -1)",3.9750091792383236e-07,"[3, 4]",[5]
"(1, -1, 1, 0, 0, 0, 1, -1, 0)",-9.188982258498981e-07,"[5, 8]",[4]
"(1, -1, 1, 0, 0, 0, 0, -1, 1)",-9.188982258498981e-07,"[3, 6]",[4]
"(1, -1, 1, 0, 0, 0, 0, -1, 0)",-3.9233856834040595e-06,[4],"[3, 5]"
"(1, -1, 1, 1, 0, 0, 0, 0, -1)",4.981667348006471e-07,[5],[6]
"(1, -1, 1, 0, 1, 0, 0, 0, -1)",5.497902306349111e-07,"[3, 5]",[6]
"(1, -1, 1, 0, 0, 1, 0, 0, -1)",-1.755198858364974e-07,[3],[7]
"(1, -1, 1, 0, 0, 0, 1, 0, -1)",1.2234768512720556e-06,[5],[4]
"(1, -1, 1, 0, 0, 0, 0, 1, -1)",2.0649398333705576e-08,[5],[6]
"(1, -1, 1, 0, 0, 0, 0, 0, -1)",2.116563329204822e-06,[6],[5]
"(1, -1, 1, 0, 0, 0, 0, 0, 0)",6.504560475117259e-07,[5],[4]
"(1, -1, -1, 1, 1, -1, 1, 0, 0)",2.0907515812876897e-07,,
"(1, -1, -1, 1, 1, -1, -1, 1, 1)",2.581174791713197e-09,,
"(1, -1, -1, 1, 1, -1, -1, 1, 0)",2.581174791713197e-09,[8],[8]
"(1, -1, -1, 1, 1, -1, 0, 1, -1)",-2.3230573125418773e-08,,
"(1, -1, -1, 1, 1, -1, 0, 1, 0)",-2.0649398333705576e-08,[6],[8]
"(1, -1, -1, 1, 1, -1, 0, 0, 1)",2.0907515812876897e-07,,
"(1, -1, -1, 1, 1, -1, 0, 0, 0)",3.9750091792383236e-07,"[6, 8]",[7]
"(1, -1, -1, 1, 1, 1, -1, 0, 0)",2.0907515812876897e-07,,
"(1, -1, -1, 1, 1, 1, -1, 1, -1)",2.581174791713197e-09,,
"(1, -1, -1, 1, 1, 0, -1, 1, -1)",2.581174791713197e-09,[5],[5]
"(1, -1, -1, 1, 1, 0, -1, 1, 0)",5.162349583426394e-09,"[5, 8]","[5, 8]"
"(1, -1, -1, 1, 1, 0, -1, 0, 1)",2.0907515812876897e-07,,
